Date,Plant,Type,AirTemp,WaterTemp,RawPh,SettledPh,RawTurb,SettleTurb,RawFlowMGD,BasinSizeMG,DetentionTimeGPM,SolidsRemoved,Dosage
02/16/18,1,1,37,49,7.88,7.79,0.86,0.11,5.613,1,257,0.9054,9.8
02/16/18,1,1,37,49,7.88,7.79,0.86,0.14,5.613,1,257,0.8796,8.5
02/16/18,1,1,37,49,7.88,7.79,0.86,0.12,5.613,1,257,0.8968,11.8
02/16/18,1,1,37,49,7.88,7.79,0.86,0.08,5.613,1,257,0.9312,13
03/09/18,1,1,51,50,7.96,7.63,1.01,0.11,5.048,1,285,0.8889,11.5
03/09/18,1,1,51,50,7.96,7.63,1.01,0.1,5.048,1,285,0.899,10
03/09/18,1,1,51,50,7.96,7.63,1.01,0.08,5.048,1,285,0.9192,12.5
03/09/18,1,1,51,50,7.96,7.63,1.01,0.08,5.048,1,285,0.9192,13.5
04/23/18,1,1,69,57,7.86,7.78,0.56,0.23,4.507,1,320,0.8712,9.5
04/23/18,1,1,69,57,7.86,7.78,0.56,0.21,4.507,1,320,0.8824,9.5
04/23/18,1,1,69,57,7.86,7.78,0.56,0.17,4.507,1,320,0.9048,8
04/23/18,1,1,69,57,7.86,7.78,0.56,0.16,4.507,1,320,0.9104,11
04/23/18,1,1,69,57,7.86,7.78,0.56,0.16,4.507,1,320,0.9104,13
04/23/18,1,1,69,57,7.86,7.78,0.56,0.15,4.507,1,320,0.916,15
04/30/18,1,1,59,56,7.7,7.47,0.82,0.18,4.631,1,311,0.8524,13.5
04/30/18,1,1,59,56,7.7,7.47,0.82,0.16,4.631,1,311,0.8688,11.5
04/30/18,1,1,59,56,7.7,7.47,0.82,0.16,4.631,1,311,0.8688,15
04/30/18,1,1,59,56,7.7,7.47,0.82,0.16,4.631,1,311,0.8688,17
05/28/18,2,1,74,62,7.96,7.61,0.53,0.1,5.59,0.75,193,0.947,11
05/28/18,2,1,74,62,7.96,7.61,0.53,0.1,5.59,0.75,193,0.947,11
05/28/18,2,1,74,62,7.96,7.61,0.53,0.08,5.59,0.75,193,0.9576,9
05/28/18,2,1,74,62,7.96,7.61,0.53,0.08,5.59,0.75,193,0.9576,13
05/28/18,2,1,74,62,7.96,7.61,0.53,0.13,5.59,0.75,193,0.9311,15
05/28/18,2,1,74,62,7.96,7.61,0.53,0.07,5.59,0.75,193,0.9629,17
07/30/18,1,1,68,64,7.67,7.2,0.78,0.07,4.518,1,319,0.9454,10.8
07/30/18,1,1,68,64,7.67,7.2,0.78,0.08,4.518,1,319,0.9376,8
07/30/18,1,1,68,64,7.67,7.2,0.78,0.07,4.518,1,319,0.9454,12
07/30/18,1,1,68,64,7.67,7.2,0.78,0.06,4.518,1,319,0.9532,14
07/30/18,1,1,68,64,7.67,7.2,0.78,0.07,4.518,1,319,0.9454,16
07/30/18,1,1,68,64,7.67,7.2,0.78,0.08,4.518,1,319,0.9376,18
08/08/18,1,1,73,65,7.72,7.39,0.4,0.14,6.371,1,226,0.944,4
08/08/18,1,1,73,65,7.72,7.39,0.4,0.08,6.371,1,226,0.968,8
08/08/18,1,1,73,65,7.72,7.39,0.4,0.08,6.371,1,226,0.968,8
08/08/18,1,1,73,65,7.72,7.39,0.4,0.08,6.371,1,226,0.968,10
08/08/18,1,1,73,65,7.72,7.39,0.4,0.08,6.371,1,226,0.968,12
08/13/18,2,1,70,64,7.69,7.39,0.3,0.12,3.488,0.75,310,0.964,6
