Date,Plant,Type,BeakerShape,AirTemp,WaterTemp,RawPh,SettledPh,RawTurb,SettleTurb,RawFlowMGD,BasinSizeMG,MixerSpeed,MixTime,SettleTime,SolidsRemoved,Dosage
2/16/2018,1,1,1,37,49,7.88,7.79,0.86,0.11,5.613,1,30,15,20,0.9054,9.8
2/16/2018,1,1,1,37,49,7.88,7.79,0.86,0.14,5.613,1,30,15,20,0.8796,8.5
2/16/2018,1,1,1,37,49,7.88,7.79,0.86,0.12,5.613,1,30,15,20,0.8968,11.8
2/16/2018,1,1,1,37,49,7.88,7.79,0.86,0.08,5.613,1,30,15,20,0.9312,13
3/9/2018,1,1,1,51,50,7.96,7.63,1.01,0.11,5.048,1,30,15,20,0.8889,11.5
3/9/2018,1,1,1,51,50,7.96,7.63,1.01,0.1,5.048,1,30,15,20,0.899,10
3/9/2018,1,1,1,51,50,7.96,7.63,1.01,0.08,5.048,1,30,15,20,0.9192,12.5
3/9/2018,1,1,1,51,50,7.96,7.63,1.01,0.08,5.048,1,30,15,20,0.9192,13.5
4/23/2018,1,1,1,69,57,7.86,7.78,0.56,0.23,4.507,1,30,15,20,0.8712,9.5
4/23/2018,1,1,1,69,57,7.86,7.78,0.56,0.21,4.507,1,30,15,20,0.8824,9.5
4/23/2018,1,1,1,69,57,7.86,7.78,0.56,0.17,4.507,1,30,15,20,0.9048,8
4/23/2018,1,1,1,69,57,7.86,7.78,0.56,0.16,4.507,1,30,15,20,0.9104,11
4/23/2018,1,1,1,69,57,7.86,7.78,0.56,0.16,4.507,1,30,15,20,0.9104,13
4/23/2018,1,1,1,69,57,7.86,7.78,0.56,0.15,4.507,1,30,15,20,0.916,15
4/30/2018,1,1,1,59,56,7.7,7.47,0.82,0.18,4.631,1,30,15,20,0.8524,13.5
4/30/2018,1,1,1,59,56,7.7,7.47,0.82,0.16,4.631,1,30,15,20,0.8688,11.5
4/30/2018,1,1,1,59,56,7.7,7.47,0.82,0.16,4.631,1,30,15,20,0.8688,15
4/30/2018,1,1,1,59,56,7.7,7.47,0.82,0.16,4.631,1,30,15,20,0.8688,17
5/28/2018,2,1,1,74,62,7.96,7.61,0.53,0.1,5.59,0.75,30,15,20,0.947,11
5/28/2018,2,1,1,74,62,7.96,7.61,0.53,0.1,5.59,0.75,30,15,20,0.947,11
5/28/2018,2,1,1,74,62,7.96,7.61,0.53,0.08,5.59,0.75,30,15,20,0.9576,9
5/28/2018,2,1,1,74,62,7.96,7.61,0.53,0.08,5.59,0.75,30,15,20,0.9576,13
5/28/2018,2,1,1,74,62,7.96,7.61,0.53,0.13,5.59,0.75,30,15,20,0.9311,15
5/28/2018,2,1,1,74,62,7.96,7.61,0.53,0.07,5.59,0.75,30,15,20,0.9629,17
7/30/2018,1,1,1,68,64,7.67,7.2,0.78,0.07,4.518,1,30,15,20,0.9454,10.8
7/30/2018,1,1,1,68,64,7.67,7.2,0.78,0.08,4.518,1,30,15,20,0.9376,8
7/30/2018,1,1,1,68,64,7.67,7.2,0.78,0.07,4.518,1,30,15,20,0.9454,12
7/30/2018,1,1,1,68,64,7.67,7.2,0.78,0.06,4.518,1,30,15,20,0.9532,14
7/30/2018,1,1,1,68,64,7.67,7.2,0.78,0.07,4.518,1,30,15,20,0.9454,16
7/30/2018,1,1,1,68,64,7.67,7.2,0.78,0.08,4.518,1,30,15,20,0.9376,18
8/8/2018,1,1,1,73,65,7.72,7.39,0.4,0.14,6.371,1,30,15,20,0.944,4
8/8/2018,1,1,1,73,65,7.72,7.39,0.4,0.08,6.371,1,30,15,20,0.968,8
